mol_id,smiles,predicted_dta,docking_affinity,MW,LogP,HBD,HBA,TPSA,RotBonds,QED,SA,Lipinski_Fail
41,C1C=CCC#CC=C2[NH1]C2CCC1CC,8.355,-8.213,201.31299999999996,3.001900000000002,1,1,21.94,1,0.3930040624626296,5.364892192761689,0
42,CC1=CCC=CC[NH1]CC=C2[NH1]C2CCC1CC,8.344,-8.425,246.398,3.144300000000002,2,2,33.97,1,0.5503469168744424,4.991736388061575,0
43,C1C=CCC=CC[NH1]C=C2[NH1]C2CCC1[NH1]CF,8.335,-7.671,251.34899999999996,1.9607999999999997,3,3,46.0,2,0.3992720332855748,5.19069451578291,0
44,C1C=CCC=CC[NH1]C=C2[NH1]C2CCC1OC,8.316,-8.045,234.34299999999996,2.0906,2,3,43.2,1,0.539123783718974,4.970069543910216,0
45,CC1=CCC=C=NC[NH1]C=C2[NH1]C2CCC1[NH1]C,8.292,-7.154,246.35800000000003,1.2908,3,4,58.36,1,0.4825300273404455,5.86565502711483,0
46,C1C=CCC#CC=C2[NH1]C2CCC1[NH1],8.291,-7.995,187.266,1.6272,1,1,45.74,0,0.3494764903123788,6.257107645322774,0
47,CC1=CCC=CCCCS=C2[NH1]C2CCC1CC,8.277,-7.546,265.466,4.046400000000003,2,1,21.94,1,0.31743300949204856,5.4320174531503325,0
48,C1C=CCC=CC[NH1]C=C2[NH1]C2CCC1C=N,8.276,-7.894,231.343,2.3413700000000004,3,3,57.82,1,0.36840222071345796,5.345405543910216,0
49,C1C=CCC=CC[NH1]C=C2[NH1]C2CCC1=CC,8.266,-9.146,230.35499999999996,3.0219000000000014,2,2,33.97,0,0.4952681984108903,5.043848415986966,0
50,CC1=CCC=CC[NH1]C=C[NH1]C=CCCC1CC,8.265,-7.303,246.398,3.863100000000003,2,2,24.06,1,0.6864455102712386,4.719977780848383,0
